,Main_genre,Sec_genre
1353,Food & Drink,
1354,Lifestyle,
1355,Personalization,
1356,Health & Fitness,
1357,Racing,
1358,Productivity,
1359,Entertainment,
1360,Personalization,
1361,Tools,
1362,Photography,
1363,Card,
1364,Tools,
1365,Tools,
1366,Beauty,
1367,Puzzle,
1368,Personalization,
1369,Sports,
1370,Finance,
1371,Action,
1372,Tools,
1373,Personalization,
1374,Health & Fitness,
1375,Social,
1376,Casual,Pretend Play
1377,Sports,
1378,Simulation,
1379,Personalization,
1380,Finance,
1381,Tools,
1382,Health & Fitness,
1383,Health & Fitness,
1384,Finance,
1385,Photography,
1386,Casual,Action & Adventure
1387,Shopping,
1388,Food & Drink,
1389,Health & Fitness,
1390,Photography,
1391,Action,
1392,Shopping,
1393,Educational,Pretend Play
1394,Business,
1395,Education,
1396,Shopping,
1397,Adventure,
1398,Sports,
1399,Tools,
1400,Strategy,
1401,Photography,
1402,Arcade,
1403,Strategy,
1404,Sports,
1405,Racing,
1406,Casual,Action & Adventure
1407,Shopping,
1408,Simulation,Action & Adventure
1409,Health & Fitness,
1410,Photography,
1411,Simulation,
1412,Shopping,
1413,Puzzle,
1414,Action,
1415,Communication,
1416,Maps & Navigation,
1417,Education,
1418,Arcade,
1419,Video Players & Editors,
1420,Food & Drink,
1421,Adventure,
1422,Arcade,
1423,Shopping,
1424,Tools,
1425,Business,
1426,House & Home,
1427,Action,
1428,Entertainment,
1429,News & Magazines,
1430,Personalization,
1431,Medical,
1432,Productivity,
1433,Productivity,
1434,Maps & Navigation,
1435,Role Playing,
1436,Strategy,
1437,Lifestyle,
1438,Shopping,
1439,Action,
1440,Tools,
1441,Puzzle,
1442,Sports,
1443,Productivity,
1444,Finance,
1445,Weather,
1446,Action,
1447,Action,
1448,Health & Fitness,
1449,Photography,
1450,Personalization,
1451,Communication,
1452,Tools,
1453,Education,
1454,Video Players & Editors,
1455,Photography,
1456,Travel & Local,
1457,Entertainment,
1458,Simulation,
1459,Arcade,
1460,Personalization,
1461,Business,
1462,Dating,
1463,Board,
1464,Strategy,
1465,Role Playing,
1466,Books & Reference,
1467,Action,Action & Adventure
1468,Arcade,
1469,Business,
1470,Lifestyle,
1471,Lifestyle,
1472,Lifestyle,
1473,Educational,Education
1474,Shopping,
1475,Health & Fitness,
1476,Tools,
1477,Simulation,
1478,Action,Action & Adventure
1479,Action,
1480,Action,
1481,Tools,
1482,Simulation,
1483,Shopping,
1484,Shopping,
1485,Comics,
1486,Communication,
1487,Casual,
1488,Strategy,
1489,Communication,
1490,Photography,
1491,News & Magazines,
1492,Health & Fitness,
1493,Video Players & Editors,
1494,Action,
1495,Strategy,
1496,Tools,
1497,Sports,
1498,Entertainment,
1499,Strategy,
1500,Sports,
1501,Arcade,
1502,Simulation,
1503,Books & Reference,
1504,Productivity,
1505,Food & Drink,
1506,Tools,
1507,Role Playing,
1508,Sports,
1509,Tools,
1510,Education,
1511,Books & Reference,
1512,Arcade,
1513,Food & Drink,
1514,Strategy,
1515,Social,
1516,Food & Drink,
1517,Strategy,
1518,Weather,
1519,Personalization,
1520,Tools,
1521,Action,
1522,Action,
1523,Photography,
1524,Tools,
1525,Social,
1526,Communication,
1527,Entertainment,
1528,Business,
1529,Finance,
1530,Books & Reference,
1531,Action,
1532,Entertainment,
1533,Art & Design,
1534,Medical,
1535,Entertainment,
1536,Personalization,
1537,Tools,
1538,Casual,Action & Adventure
1539,Social,
1540,Personalization,
1541,Personalization,
1542,Productivity,
1543,Arcade,
1544,Shopping,
1545,Books & Reference,
1546,Sports,
1547,Tools,
1548,Entertainment,
1549,Tools,
1550,Puzzle,Brain Games
1551,Arcade,
1552,Racing,
1553,Tools,
1554,Education,
1555,Board,
1556,Music,
1557,Business,
1558,Tools,
1559,Strategy,
1560,News & Magazines,
1561,Arcade,
1562,Personalization,
1563,Role Playing,
1564,Education,
1565,Puzzle,
1566,Casual,
1567,Action,
1568,Simulation,
1569,Racing,
1570,News & Magazines,
1571,Sports,
1572,Social,
1573,Simulation,
1574,Communication,
1575,Sports,
1576,Arcade,
1577,Entertainment,Music & Video
1578,Lifestyle,
1579,Action,Action & Adventure
1580,Tools,
1581,Tools,
1582,Productivity,
1583,Casual,Pretend Play
1584,Productivity,
1585,Photography,
1586,Puzzle,
1587,Social,
1588,Entertainment,
1589,Finance,
1590,Sports,
1591,Productivity,
1592,Business,
1593,Action,
1594,Productivity,
1595,News & Magazines,
1596,Casual,
1597,Productivity,
1598,Strategy,
1599,Photography,
1600,Racing,Action & Adventure
1601,Social,
1602,Sports,
1603,Shopping,
1604,Tools,
1605,Social,
1606,Medical,
1607,Business,
1608,Tools,
1609,Sports,
1610,Finance,
1611,Finance,
1612,Lifestyle,
1613,Business,
1614,News & Magazines,
1615,Strategy,
1616,Photography,
1617,Health & Fitness,
1618,Personalization,
1619,Tools,
1620,Personalization,
1621,Travel & Local,
1622,Health & Fitness,
1623,Tools,
1624,Parenting,
1625,Travel & Local,
1626,News & Magazines,
1627,Dating,
1628,Word,
1629,Action,Action & Adventure
1630,Tools,
1631,Weather,
1632,Communication,
1633,Photography,
1634,Social,
1635,Sports,
1636,Sports,
1637,Productivity,
1638,Educational,
1639,Health & Fitness,
1640,Sports,
1641,Sports,
1642,Tools,
1643,Productivity,
1644,Education,
1645,Racing,
